"timestamp","acoustic.a1.L10_A","acoustic.a1.L10_Z","acoustic.a1.Leq_A","acoustic.a1.Leq_Z","acoustic.a2.L10_A","acoustic.a2.L10_Z","acoustic.a2.Leq_A","acoustic.a2.Leq_Z","meteo.a3.Hum","meteo.a3.Patm","meteo.a3.Rain","meteo.a3.Temp","meteo.a3.Wind_Dir","meteo.a4.Hum","meteo.a4.Patm","meteo.a4.Rain","meteo.a4.Temp","meteo.a4.Wind_Dir","meteo.lidar.Fog","meteo.lidar.Hum","meteo.lidar.Patm","meteo.lidar.Rain","meteo.lidar.Temp","meteo.s1.H","meteo.s1.Moy_T","meteo.s1.Wind_Dir","meteo.s1.Wind_Speed","meteo.s2.H","meteo.s2.Moy_T","meteo.s2.Wind_Dir","meteo.s2.Wind_Speed"
2020-07-22 07:30:00,37.62,53.93,40.63,64.58,35.58,57.84,41.37,69.31,67.5985,1005.35,0,12.4992,0.999786,,,,,,0,35.7508823529412,1006.43823529412,0,23.4879411764706,-24.1721036228236,12.6757966666667,267.545800175845,3.86951325832439,"nan",12.595,281.788735988275,1.95227307799151
2020-07-22 07:40:00,39.05,54.84,43.37,67.69,37.08,59.33,53.08,69.85,66.9973,1005.35,0,12.6988,7.99829,,,,,,0,35.3482857142857,1006.30857142857,0,23.7245714285714,-21.2075298879684,12.716875,262.899753115864,4.21373140945168,"nan",12.9046153846154,282.224788292,2.08948998330861
2020-07-22 07:50:00,39.03,54.89,42.23,67.61,36.39,56.45,47.41,69.37,65.8986,1005.48,0,13.1986,22.9951,,,,,,0,34.9791428571429,1006.23428571429,0,24.3751428571429,-16.0332741297495,12.8753756388416,261.233957128267,4.48304169433558,"nan",13.098,281.142907117299,2.23009634988774
2020-07-22 08:00:00,37.82,54.33,41.43,65.27,35.48,54.73,47.98,67.27,64.3971,1005.48,0,13.6985,0,,,,,,0,34.0361764705882,1006.12058823529,0,24.3702941176471,9.755478430103,13.1173883333333,265.96728079666,4.18714130161013,"nan",13.2866666666667,285.285484435816,2.63624528969554
2020-07-22 08:10:00,37.75,54.09,40.58,65.06,34.52,55.45,40.59,66.34,62.8986,1005.48,0,14.2991,15.9966,,,,,,0,34.9317647058824,1006.07941176471,0,24.5582352941176,18.9183313159289,13.5728991666667,279.828631427807,3.86670271919104,"nan",14.01,291.078447998384,3.48568692848975
2020-07-22 08:20:00,37.87,54.02,42.36,63.12,37.32,56.38,49.21,68.2,61.4978,1005.48,0,14.5994,11.9974,,,,,,0,34.0688888888889,1006.02222222222,0,24.7319444444444,21.9529508113534,13.7687741666667,279.168747067355,3.77828812543666,"nan",15.25,293.556054711142,3.83145979261488
2020-07-22 08:30:00,37.99,54.54,41.99,66.61,33.96,53.79,43.62,66.81,61.2995,1005.48,0,14.6983,32.993,,,,,,0,32.5247058823529,1006.07058823529,0,24.7944117647059,21.6842092434914,13.9126466666667,281.823946235918,4.09084890649138,"nan",14.23,292.844121174354,4.04963694327691
2020-07-22 08:40:00,37.42,53.54,41.41,63.54,35.66,52.53,42.56,66.19,60.1978,1005.35,0,15.1982,53.9995,,,,,,0,33.3841176470588,1005.95588235294,0,24.9132352941176,20.3279234186456,14.1831325,282.069093439474,3.78043429647907,"nan",0,293.199593348264,4.1202689709141
2020-07-22 08:50:00,38.59,53.47,40.11,63,32.23,52.19,38.36,65.43,58.0981,1005.35,0,15.6999,8.99808,,,,,,0,32.54,1005.78888888889,0,25.4152777777778,22.5447167563869,14.5797590051458,276.655582546582,4.12719879921671,"nan",0,290.686692035037,3.66701682068383
2020-07-22 09:00:00,37.71,54.4,40.79,64.37,33.6,51.23,40.94,66.33,56.5996,1005.35,0,16.1998,12.9972,,,,,,0,31.4817142857143,1005.67428571429,0,25.7017142857143,70.6817800966105,14.9607975,283.145708407935,4.09107602865851,"nan",0,292.660358401217,4.12348123960874
